lat,lon,date,hour,total_count,occupied_count,occupancy_rate
-37.81989373700138,144.94328768101258,2025-08-03,2,1,0,0.0
-37.81989098642812,144.95746372599973,2025-08-03,9,1,1,1.0
-37.81987589225314,144.94993894228122,2025-06-17,11,1,1,1.0
-37.819875129746634,144.94335166192775,2025-08-03,7,1,1,1.0
-37.819874287371505,144.95720707765776,2025-01-29,0,1,1,1.0
-37.81986006122925,144.94592410249493,2025-08-03,8,1,0,0.0
-37.81985837697532,144.94536883743564,2025-05-12,23,1,0,0.0
-37.81985615505279,144.94527324403245,2025-05-13,0,1,1,1.0
-37.8198485764157,144.9471475503992,2024-12-24,13,1,0,0.0
-37.819837521751,144.9574391579276,2025-08-03,9,1,1,1.0
-37.81983178241323,144.95574398443216,2025-08-03,13,1,0,0.0
-37.81982702192029,144.95541099028247,2025-08-03,8,1,0,0.0
-37.8198237617609,144.95718394732322,2025-02-12,22,1,1,1.0
-37.819815126711354,144.94693719894985,2024-12-25,4,1,1,1.0
-37.81981416590159,144.94988583366637,2025-06-17,13,1,0,0.0
-37.81981366699077,144.95580820855713,2025-08-03,9,1,1,1.0
-37.81981045436291,144.95546985526124,2025-08-03,11,1,0,0.0
-37.81980707842661,144.945909621506,2025-08-03,11,1,0,0.0
-37.81980389778228,144.94391087225625,2025-08-03,11,1,0,0.0
-37.81980106441673,144.94535366686563,2025-05-12,13,1,0,0.0
-37.81979464279118,144.95587557609343,2025-08-03,8,1,1,1.0
-37.819793849449454,144.94394541689542,2025-08-03,10,1,0,0.0
-37.81978441503779,144.9574143505606,2025-08-03,13,1,0,0.0
-37.81978379179296,144.94397996210589,2025-08-03,11,1,0,0.0
-37.819779418280326,144.9471201563455,2024-12-25,2,1,1,1.0
-37.81977593985887,144.95594194920315,2025-08-03,10,1,1,1.0
-37.819773730973466,144.9440145056418,2025-08-03,9,1,0,0.0
-37.8197729040899,144.95716028645603,2025-02-13,5,1,0,0.0
-37.81976391857569,144.94404744457694,2025-08-03,13,1,0,0.0
-37.81975890500819,144.9545992340826,2025-08-03,10,1,1,1.0
-37.819756890114924,144.95600948726414,2025-08-03,11,1,1,1.0
-37.81975611201209,144.9498402587675,2025-06-17,13,1,0,0.0
-37.81975190227377,144.9458951018895,2025-08-03,7,1,0,0.0
-37.819748601841326,144.94533978016804,2025-05-12,5,1,0,0.0
-37.81974639130393,144.9469095366655,2024-12-25,0,1,0,0.0
-37.81972470958111,144.95713757986294,2025-02-13,5,1,0,0.0
-37.81972263913978,144.9452378507582,2025-05-12,0,1,0,0.0
-37.81971276918418,144.9545781189122,2025-08-03,10,1,1,1.0
-37.819708753143885,144.94980291978067,2025-06-17,8,1,1,1.0
-37.819698386192954,144.9558624782633,2025-08-03,12,1,0,0.0
-37.81969672078945,144.9458806148036,2025-08-03,8,1,0,0.0
-37.81969427324976,144.94707993885555,2024-12-16,0,1,0,0.0
-37.819690203466365,144.94430138682208,2025-08-03,11,1,0,0.0
-37.819681768663415,144.94433035325386,2025-08-03,11,1,0,0.0
-37.819680188600614,144.9559266523233,2025-08-03,12,1,1,1.0
-37.8196733381685,144.94435930941012,2024-10-01,4,1,0,0.0
-37.81966489613076,144.94438830046715,2025-08-03,11,1,1,1.0
-37.81966487313244,144.94522347505338,2025-05-13,1,1,0,0.0
-37.81966279579272,144.95455527327397,2025-08-03,13,1,0,0.0
-37.81966199097232,144.955990826353,2025-08-03,8,1,1,1.0
-37.819661393364115,144.94976558139547,2025-06-17,13,1,0,0.0
-37.81965703917745,144.95735584482327,2025-08-03,8,1,1,1.0
-37.819656465631084,144.94441725659843,2025-08-03,12,1,1,1.0
-37.81965271448664,144.95056196025416,2025-06-17,12,1,0,0.0
-37.81965061526964,144.94412267115138,2025-08-03,12,1,0,0.0
-37.81964805208817,144.94444535775435,2025-08-03,9,1,1,1.0
-37.81964378270916,144.9560549980689,2025-08-03,12,1,1,1.0
-37.819641539773656,144.94586612662667,2025-08-03,8,1,0,0.0
-37.819632495597034,144.94418446229685,2025-08-03,10,1,0,0.0
-37.81962576701123,144.94705243729462,2024-12-24,9,1,0,0.0
